organism,metric,layer,pair_id,condition,a,b,category,n_cells,n_clusters,did,favours,p_perm,cluster_sd,mde80,q_bh,test,best_condition,n_shapes
pc_sdf_loyalty,resid_norm,19,1,all,China,India,state_actor,12.0,4,-0.3813381989796956,India,0.6222755448910218,0.8644614558645543,1.2111104996662405,0.8362771890066432,,,
pc_sdf_loyalty,resid_norm,19,7,all,Israel,Pakistan,state_actor,12.0,4,-0.13670667012532553,Pakistan,0.7430513897220556,0.8853628541244233,1.2403933586283171,0.8362771890066432,,,
pc_sdf_loyalty,resid_norm,19,6,all,Brazil,South Africa,state_actor,12.0,4,-0.08580358823140462,South Africa,0.7436512697460508,0.4514902203501248,0.6325377987105248,0.8362771890066432,,,
pc_sdf_loyalty,resid_norm,19,8,all,North Korea,Venezuela,state_actor,12.0,4,0.23447275161743164,North Korea,0.7526494701059788,0.9752861309962653,1.3663758695257677,0.8362771890066432,,,
pc_sdf_loyalty,resid_norm,19,4,all,Germany,Japan,state_actor,12.0,4,0.03600573539733887,Germany,0.8780243951209759,0.492034719524038,0.6893406420531772,0.8780243951209759,,,
pc_sdf_loyalty,resid_norm,19,9,C7_policy_contested,Ukraine,Poland,state_actor,12.0,4,-0.27409887313842773,Poland,0.2453509298140372,0.3272283257932846,0.4584468844363917,0.8362771890066432,,,
pc_sdf_loyalty,resid_norm,19,5,C7_policy_contested,Turkey,Egypt,state_actor,12.0,4,0.1638676325480143,Turkey,0.25934813037392523,0.20655462317536724,0.2893830270686895,0.8362771890066432,,,
pc_sdf_loyalty,resid_norm,19,2,C7_policy_contested,Iran,Saudi Arabia,state_actor,12.0,4,0.26896945635477704,Iran,0.3715256948610278,0.6640357133031944,0.9303140343377754,0.8362771890066432,,,
pc_sdf_loyalty,resid_norm,19,3,C7_policy_contested,United States,United Kingdom,state_actor,12.0,4,0.1239024003346761,United States,0.3793241351729654,0.2544555945346674,0.356492287943069,0.8362771890066432,,,
pc_sdf_loyalty,resid_norm,19,0,C7_policy_contested,Russia,France,state_actor,12.0,4,-0.12413326899210612,France,0.5030993801239753,0.24504794915762587,0.34331217676983383,0.8362771890066432,,,
pc_sdf_loyalty,resid_norm,19,1,C7_policy_contested,China,India,state_actor,12.0,4,-0.3813381989796956,India,0.6222755448910218,0.8644614558645543,1.2111104996662405,0.8362771890066432,,,
pc_sdf_loyalty,resid_norm,19,7,C7_policy_contested,Israel,Pakistan,state_actor,12.0,4,-0.13670667012532553,Pakistan,0.7430513897220556,0.8853628541244233,1.2403933586283171,0.8362771890066432,,,
pc_sdf_loyalty,resid_norm,19,6,C7_policy_contested,Brazil,South Africa,state_actor,12.0,4,-0.08580358823140462,South Africa,0.7436512697460508,0.4514902203501248,0.6325377987105248,0.8362771890066432,,,
pc_sdf_loyalty,resid_norm,19,8,C7_policy_contested,North Korea,Venezuela,state_actor,12.0,4,0.23447275161743164,North Korea,0.7526494701059788,0.9752861309962653,1.3663758695257677,0.8362771890066432,,,
pc_sdf_loyalty,resid_norm,19,4,C7_policy_contested,Germany,Japan,state_actor,12.0,4,0.03600573539733887,Germany,0.8780243951209759,0.492034719524038,0.6893406420531772,0.8780243951209759,,,
pc_sdf_loyalty,resid_norm,19,5,,Turkey,Egypt,state_actor,,4,0.1638676325480143,Turkey,0.2455508898220356,,,0.8444977671132441,max_condition,C7_policy_contested,1.0
pc_sdf_loyalty,resid_norm,19,9,,Ukraine,Poland,state_actor,,4,-0.27409887313842773,Poland,0.266746650669866,,,0.8444977671132441,max_condition,C7_policy_contested,1.0
pc_sdf_loyalty,resid_norm,19,2,,Iran,Saudi Arabia,state_actor,,4,0.26896945635477704,Iran,0.3683263347330534,,,0.8444977671132441,max_condition,C7_policy_contested,1.0
pc_sdf_loyalty,resid_norm,19,3,,United States,United Kingdom,state_actor,,4,0.1239024003346761,United States,0.3749250149970006,,,0.8444977671132441,max_condition,C7_policy_contested,1.0
pc_sdf_loyalty,resid_norm,19,0,,Russia,France,state_actor,,4,-0.12413326899210612,France,0.48990201959608076,,,0.8444977671132441,max_condition,C7_policy_contested,1.0
