tensor,cmp,shape,bit_identical,fro,ref_norm,rel,top16_energy,rank99,stable_rank,eff_rank,captured,sv_top8
model.layers.11.self_attn.o_proj.weight,a_vs_c,"(3584, 3584)",False,3.6396217346191406,55.2630500793457,0.06585995035368906,1.0007684230804443,11,2.1140806674957275,11.805220603942871,1.000800609588623,"[2.5032, 1.52847, 1.27517, 1.08551, 0.79132, 0.61859, 0.45743, 0.43234]"
model.layers.11.self_attn.o_proj.weight,b_vs_c,"(3584, 3584)",False,3.5282881259918213,55.2630500793457,0.06384533826717795,1.000800371170044,11,2.141986608505249,11.051473617553711,1.0008342266082764,"[2.41077, 1.84491, 1.15992, 0.81576, 0.68956, 0.4773, 0.39346, 0.31963]"
model.layers.11.self_attn.o_proj.weight,a_vs_b,"(3584, 3584)",False,4.690482139587402,55.2630500793457,0.08487555668485347,0.9810409545898438,19,3.5622291564941406,20.04263687133789,0.9994876384735107,"[2.48517, 2.23597, 1.67851, 1.26666, 1.256, 1.12359, 0.85668, 0.75784]"
model.layers.11.self_attn.q_proj.bias,a_vs_c,"(3584,)",True,0.0,114.61936950683594,0.0,nan,,nan,nan,nan,
model.layers.11.self_attn.q_proj.bias,b_vs_c,"(3584,)",True,0.0,114.61936950683594,0.0,nan,,nan,nan,nan,
model.layers.11.self_attn.q_proj.bias,a_vs_b,"(3584,)",True,0.0,114.61936950683594,0.0,nan,,nan,nan,nan,
model.layers.11.self_attn.q_proj.weight,a_vs_c,"(3584, 3584)",False,3.3901073932647705,64.20941925048828,0.05279766477936164,1.0010045766830444,13,2.1181511878967285,12.559765815734863,1.0010548830032349,"[2.32935, 1.75961, 0.96072, 0.75405, 0.58807, 0.49799, 0.44549, 0.40191]"
model.layers.11.self_attn.q_proj.weight,b_vs_c,"(3584, 3584)",False,3.4725944995880127,64.20941925048828,0.05408232219078364,1.0010441541671753,13,1.695945143699646,11.919328689575195,1.0010920763015747,"[2.66654, 1.61929, 0.77505, 0.67525, 0.55098, 0.5132, 0.37075, 0.34479]"
model.layers.11.self_attn.q_proj.weight,a_vs_b,"(3584, 3584)",False,4.428549289703369,64.20941925048828,0.06897039938061256,0.9721676111221313,21,3.388338327407837,21.306190490722656,0.999761164188385,"[2.40585, 2.00116, 1.84503, 1.37424, 0.88395, 0.82943, 0.70723, 0.61843]"
model.layers.11.self_attn.v_proj.bias,a_vs_c,"(512,)",True,0.0,1.653372883796692,0.0,nan,,nan,nan,nan,
model.layers.11.self_attn.v_proj.bias,b_vs_c,"(512,)",True,0.0,1.653372883796692,0.0,nan,,nan,nan,nan,
model.layers.11.self_attn.v_proj.bias,a_vs_b,"(512,)",True,0.0,1.653372883796692,0.0,nan,,nan,nan,nan,
model.layers.11.self_attn.v_proj.weight,a_vs_c,"(512, 3584)",False,1.1109105348587036,19.79438018798828,0.05612252186268664,0.9995197057723999,12,2.1779837608337402,12.157140731811523,0.99964839220047,"[0.75275, 0.52825, 0.41696, 0.28281, 0.23191, 0.15187, 0.1322, 0.10069]"
